Artist,Artwork,Year,Gen,물질성 (Materiality),방법론 (Methodology),행위자 관계 및 구성 (Actor Relationships & Configuration),윤리적 접근 방식 (Ethical Approach),미학적 전략 (Aesthetic Strategy),인식론적 기능 (Epistemic Function),철학적 입장 (Philosophical Stance),사회적 맥락 (Social Context),관객 참여방식 (Audience Engagement),시간적 스케일 (Temporal Scale),공간적 스케일 (Spatio Scale),권력 및 자본 비판,문서화와 재현 (Documentation & Representation)
Joe Davis,Microvenus,1986,1,"DNA 염기서열, 미생물(박테리아)","유전자 편집, 생물정보학(Bioinformatics)","예술가 주도, 자율적 생물 과정","도구적, 성찰적","개념적, 데이터 미학","사회 비판, 지식 생산, 미래 제안","탈인간 중심주의, 생태 여성주의","실험실, 과학 연구소","해석적 참여, 관찰적","진화적, 세대 간(Trans-generational)","분자 단위, 세포 단위","제도 비판, 지적 재산권","현미경 이미지, 다이어그램, 연구 노트, 출판물"
Joe Davis,Poetica Vaginal,1986,1,"생체 신호, 데이터","바이오 센싱, 데이터 시각화, 원격 현존(Telepresence)","예술가 주도, 인간 중심적 창작","도구적, 도발적","개념적, 퍼포먼스적, 청각적(소리)","사회 비판, 권력 관계 폭로, 도발과 논쟁","탈인간 중심주의, 생태 여성주의","과학 연구소, 공공장소(우주)","해석적 참여, 관찰적","순간적, 일시적(Ephemeral)","지구적 네트워크, 매크로(Macro)","제도 비판, 거버넌스","데이터 시각화, 강연 퍼포먼스, 내러티브"
Joe Davis,Audio Microscope,2000,1,"미생물, 생체 신호","바이오 센싱, 현미경 관찰","예술가 주도, 종간 공동 창작","성찰적, 관계적 윤리","다중 감각(청각적), 과정 기반","지식 생산, 인식론적 사물(Epistemic Thing), 과학 소통","관계적 존재론, 신유물론(New Materialism)","실험실, 미술관","상호작용적(Interactive), 관찰적",지속적(Durational),"마이크로(Micro), 세포 단위",,"실시간 영상, 강연 퍼포먼스, 연구 노트"
George Gessert,Iris Series,1985-,1,"식물, 유전적 다양성","생태학적 조립, 인공 선택(Artificial Selection)¹","종간 공동 창작, 인간-비인간 협업","공생적, 돌봄 기반, 관계적 윤리","생물학적 형태미, 과정 기반, 변화와 성장","예술 기반 연구(Art-based Research), 지식 생산","생명 중심주의, 심층 생태학(Deep Ecology)","자연 환경, 미술관","관찰적, 관조적, 해석적 참여","진화적, 세대 간(Trans-generational)","개체 단위(Organismic), 군집 단위(Colony)","바이오 캐피탈(비판적), 상품화(비판적)","사진 기록, 출판물, 연구 노트, 물질적 잔여물"
George Gessert,Horticultural Practice,1970s-,1,식물(다양한 종),"생태학적 조립, 인공 선택(Artificial Selection)¹","종간 공동 창작, 자율적 생물 과정","공생적, 호혜성, 돌봄 기반","생물학적 형태미, 패턴과 질감, 야생성(Wildness)²","사회 비판(상업주의), 예술 기반 연구","생명 중심주의, 관계적 존재론","자연 환경, 사설 스튜디오","관찰적, 관조적","진화적, 장기 프로젝트","개체 단위(Organismic), 군집 단위(Colony)",상업화(비판적),"사진 기록, 출판물"
Stelarc,Third Hand,1980,1,"인간 신체, 혼합 물질(사이보그)","로보틱스, 바이오 센싱, 외과적 변형(비침습적 부착)³","예술가 주도, 인간-기계 협업","성찰적, 도발적","퍼포먼스적, 기괴함, 경계의 모호함","도발과 논쟁, 미래 제안, 실험으로서의 예술","포스트휴머니즘, 트랜스휴머니즘, 사이보그 이론","미술관, 갤러리, 공공장소","관찰적, 해석적 참여","장기 프로젝트, 지속적(Durational)",인간 신체 규모,제도 비판,"사진 기록, 실시간 영상, 강연 퍼포먼스"
Stelarc,Stomach Sculpture,1993,1,"인간 신체, 혼합 물질","외과적 변형(침습적 삽입)³, 로보틱스","예술가 주도, 의도와 통제","도발적, 성찰성(Reflexivity)","퍼포먼스적, 언캐니(Uncanny), 혐오(Abject)","도발과 논쟁, 지식 생산(신체 경험)","포스트휴머니즘, 신유물론(New Materialism)","실험실(클리닉), 미술관","관찰적, 수동적 관람","일시적(Ephemeral), 단기 전시","인간 신체 규모, 마이크로(Micro)",,"실시간 영상(내시경), 사진 기록, 물질적 잔여물"
Stelarc,Ear on Arm,2006-,1,"인간 신체, 조직 배양, 반-생명(Semi-Living), 사이보그","조직 공학, 세포 배양, 외과적 변형(침습적 이식)³, 원격 현존","예술가 주도, 관객의 개입(미래)","도발적, 신경 윤리, 포스트휴먼 윤리","퍼포먼스적, 그로테스크, 과정 기반, 변화와 성장","미래 제안, 사변적 디자인, 도발과 논쟁","포스트휴머니즘, 트랜스휴머니즘, 관계적 존재론","실험실, 미술관, 온라인 플랫폼","상호작용적(미래), 관찰적","진행 중(Ongoing), 진화적",인간 신체 규모,,"사진 기록, 타임랩스 비디오, 연구 노트, 강연 퍼포먼스"
Joe Davis,Bacterial Radio,2012,1,"미생물, 혼합 물질","바이오 해킹, 유전자 편집",예술가-유기체 공동 행위,기능적 창조,기능적 미학,과학적 경계 해체,신유물론,실험실,관찰적,실시간,미시적-거시적,지식의 탈권위화,살아있는 시스템
Stelarc,Suspensions,1976,1,인간 신체,바디 아트 퍼포먼스,예술가 신체의 극한적 경험,자기-실험,인내의 스펙터클,신체 한계의 경험적 탐구,포스트휴머니즘,갤러리,관찰적,일시적,건축적,,"사진, 영상 기록"
Eduardo Kac,Genesis,1999,2,"DNA 염기서열, 미생물(박테리아)","형질 전환, 생물정보학, 원격 현존","예술가 주도, 관객의 개입, 자율적 생물 과정","성찰적, 도구적, 도발적","개념적, 데이터 미학, 과정 기반","도발과 논쟁, 사회 비판, 예술 기반 연구, 지식 생산","탈인간 중심주의, 인간 중심주의 비판","미술관, 온라인 플랫폼","상호작용적(Interactive), 해석적 참여","단기 전시, 지속적(Durational)",마이크로(Micro),"생명 정치, 지적 재산권","실시간 영상, 데이터 시각화, 물질적 잔여물(번역된 텍스트)"
Eduardo Kac,GFP Bunny,2000,2,"동물(토끼), 형질 전환 유전자(GFP)",유전자 편집(형질 전환),"예술가 주도, 다중 행위자 네트워크(과학자, 기관)","도발적, 성찰적, 관계적 윤리","스펙터클, 개념적, 언캐니(Uncanny)","도발과 논쟁, 사회 비판, 권력 관계 폭로","포스트휴머니즘, 종차별주의 비판, 생명권","실험실, 미술관(부재), 미디어 공간","해석적 참여, 담론적 참여",진행 중(Ongoing),개체 단위(Organismic),"생명 정치, 제도 비판, 미디어 정치*","사진 기록, 내러티브(캠페인), 출판물, 구술"
Oron Catts & Ionat Zurr,Pig Wings Project,2001,2,"반-생명(Semi-Living), 조직 배양(돼지 줄기세포)","조직 공학, 세포 배양","예술가 주도, 자율적 생물 과정","성찰성(Reflexivity), 돌봄 기반, 존재론적 권리","언캐니(Uncanny), 기괴함, 개념적","도발과 논쟁, 미래 제안, 윤리적 질문 제기","포스트휴머니즘, 신유물론, 관계적 존재론","실험실, 미술관","관찰적, 해석적 참여","단기 전시, 소멸",개체 단위(Organismic),생명 정치,"물질적 잔여물(보존된 조각), 사진 기록, 연구 노트"
Oron Catts & Ionat Zurr,Victimless Leather,2004,2,"반-생명(Semi-Living), 조직 배양, 세포주","조직 공학, 세포 배양, 무균 기술","예술가 주도, 자율적 생물 과정, 창발(Emergence)","돌봄 기반, 책임 있는 연구 혁신(RRI), 취약성, 관계적 윤리","과정 기반, 변화와 성장, 소멸과 부패, 혐오(Abject)","도발과 논쟁, 제도 비판, 인식론적 사물(Epistemic Thing)","신유물론, 포스트휴머니즘, 생태 여성주의","실험실, 미술관","관찰적, 해석적 참여(의식 참관)","지속적(Durational), 일시적(Ephemeral)",개체 단위(Organismic),"생명 정치, 노동, 제도 비판","실시간 영상, 사진 기록, 물질적 잔여물, 퍼포먼스 기록"
Art Orienté Objet,May the Horse Live in Me,2011,2,"인간 신체, 동물(말 혈액/혈장), 혼합 물질","미트리다티즘(Mithridatism)*, 신체 변형, 종간 퍼포먼스","예술가 주도, 종간 공동 창작","공생적, 상호 의존, 관계적 윤리","퍼포먼스적, 숭고, 경계의 모호함","도발과 논쟁, 예술 기반 연구, 지식 생산","포스트휴머니즘, 종차별주의 비판, 사이보그 이론","미술관, 퍼포먼스 공간","관찰적, 해석적 참여","지속적(Durational), 일시적",인간 신체 규모,생명 정치,"실시간 영상(퍼포먼스), 사진 기록, 물질적 잔여물(동결건조 혈액)"
Wim Delvoye,Cloaca,2000,2,"생명-기계 하이브리드, 물질대사적 (모방) 생명체","로보틱스, 기계 공학, 화학 공학","예술가 주도, 의도와 통제","도구적, 객체화","스펙터클, 그로테스크, 후각적(냄새)","사회 비판, 제도 비판, 도발과 논쟁","인간 중심주의, 소비주의 비판*","미술관, 비엔날레","관찰적, 수동적 관람","단기 전시, 지속적",설치 규모,"상업화, 상품화, 제도 비판","물질적 잔여물(진공포장 배설물), 다이어그램, 사진 기록"
Zbigniew Oksiuta,Biological Habitat,2007,2,"합성 생명체(모방), 생물학적 고분자(젤라틴)","자기 조직화, 무중력 시뮬레이션, 사변적 디자인","자율적 생물 과정, 예술가 주도(환경설계)",,"생물학적 형태미, 과정 기반, 개념적","미래 제안, 사변적 디자인, 월드 빌딩","기술 유토피아니즘, 포스트휴머니즘","미술관, 실험실","관찰적, 해석적 참여",진화적(Evolutionary),건축 규모,,"다이어그램, 연구 노트, 프로토타입 모델, 사진 기록"
HeHe,Pollstream – Nuage Vert,2008,2,"데이터(에너지 소비량), 환경(대기, 수증기)","데이터 시각화, 레이저 프로젝션, 환경 데이터 분석","관객의 개입, 알고리즘 생성, 예술가 주도","성찰적, 공생적","스펙터클, 과정 기반, 데이터 미학","사회 비판, 과학 소통, 정치적 논평","생태 중심주의, 관계적 존재론","공공장소, 도시 공간","참여적(Participatory), 상호작용적(Interactive)","일시적(Ephemeral), 실시간",매크로(Macro),"거버넌스, 자원 정치","실시간 영상(레이저 쇼), 사진 기록, 데이터 시각화, 내러티브"
Eduardo Kac,Natural History of the Enigma,2003,2,"식물, 유전자(인간)",형질 전환,예술가-유전자-식물 하이브리드,시적 창조,상징적 하이브리드,종(Species) 개념의 재정의,관계적 존재론,미술관,관조적,성장적,유기체적,유전자 특허 비판,살아있는 조각
Oron Catts & Ionat Zurr,Disembodied Cuisine,2003,2,"조직 배양, 반-생명",조직 공학,예술가-세포-관객의 공모,도발적 질문,내장적 경험,대체육의 문화적 의미 탐구,생명 중심주의,실험실,참여적(시식),과정적,분자적,푸드테크 산업 비판,퍼포먼스 기록
Wim Delvoye,Art Farm / Tattooed Pigs,1997,2,동물 (돼지),바디 아트 (문신),예술가-자본-동물의 관계망,체계적 착취,바로크적 과잉,예술과 상품의 경계 질문,인간 중심주의 비판,농장,원격 관찰,장기적,글로벌,예술 시장 비판,살아있는 작품
Paul Vanouse,Latent Figure Protocol,2007,3,"추출 DNA, 데이터","생물정보학, 데이터 시각화","예술가 주도, 알고리즘 생성",성찰적,"개념적, 과정 기반","제도 비판, 권력 관계 폭로, 지식 생산",신유물론,"실험실, 갤러리, 미술관","관찰적, 해석적 참여",단기 전시/반복 수행,분자 단위,"생명 정치, 거버넌스, 지적 재산권","실시간 영상, 사진 기록, 강연 퍼포먼스"
Paul Vanouse,The America Project,2017,3,"생물학적 흔적 (침), 추출 DNA","생물정보학, 데이터 시각화","다중 행위자 네트워크, 관객의 개입","성찰적, 관계적 윤리","과정 기반, 퍼포먼스적, 개념적","사회 비판, 정치적 논평","신유물론, 관계적 존재론","갤러리, 비엔날레","참여적, 데이터 제공",단기 전시,개체 단위에서 설치 규모로,"생명 정치, 제도 비판","실시간 영상, 설치 잔여물, 사진 기록"
Anna Dumitriu,The Romantic Disease,2014,3,"추출 DNA, 복합 물질 (유물+DNA)","미생물학, 데이터 시각화","예술가 주도, 인간-비인간 협업","성찰적, 관계적 윤리","언캐니, 경계의 모호함, 역사적 질감 (New Label)","과학 소통, 역사적 성찰, 교육적","신유물론, 탈인간 중심주의","미술관, 박물관","관찰적, 해석적 참여",역사적 시간성,개체 단위에서 설치 규모,제도 비판,"물질적 잔여물 (변형된 유물), 내러티브, 출판물"
Anna Dumitriu,Make Do and Mend,2017,3,"미생물 (E. coli), 추출 DNA, 복합 물질","유전자 편집 (CRISPR-Cas9), 생물정보학, 세포 배양",예술가 주도,"성찰적, 책임 있는 연구 혁신(RRI)","개념적, 경계의 모호함, 공예적 미학 (New Label)","사회 비판, 미래 제안, 과학 소통","생태 여성주의, 탈인간 중심주의","갤러리, 과학관","관찰적, 해석적 참여",단기 전시,분자/세포 단위,"생명 정치, 거버넌스, 연구 기금","물질적 잔여물 (드레스), 다이어그램, 연구 노트"
Špela Petrič,Confronting Vegetal Otherness (Skotopoiesis & Phytoteratology),2015-2017,3,"인간 신체, 식물, 단백질 (호르몬)","바이오 센싱, 세포 배양","종간 공동 창작, 자율적 생물 과정","관계적 윤리, 돌봄 기반, 공생적","과정 기반, 시간성, 퍼포먼스적, 연약함의 미학 (New Label)","지식 생산, 예술 기반 연구, 인식론적 사물","탈인간 중심주의, 생태 여성주의, 신유물론","실험실, 갤러리, 퍼포먼스 공간",관찰적 (퍼포먼스),지속적 (Durational),인간 신체/개체 단위,,"타임랩스 비디오, 사진 기록, 구술, 강연 퍼포먼스"
Špela Petrič,PL'AI,2020,3,"생명-기계 하이브리드, 식물","AI 설계, 머신러닝, 로보틱스","종간 공동 창작, AI 공동 창작, 자율적 생물 과정","공생적, 관계적 윤리","과정 기반, 창발, 비-효율성의 미학 (New Label)","제도 비판 (Institutional Critique), 미래 제안 (Proposing Futures) & 사변적 디자인, 철학적 질문 (Philosophical Questioning)","탈인간 중심주의, 포스트휴머니즘, 관계적 존재론, 신유물론, 객체 지향 존재론","갤러리, 비엔날레","관찰적, 해석적 참여","진화적, 장기 프로젝트",설치 규모,,"실시간 영상 (타임랩스), 데이터 시각화, 연구 노트"
Maja Smrekar,K-9_topology,2014-2017,3,"인간 신체, 동물, 세포주, 단백질 (호르몬/세로토닌)","세포 배양, 바이오 센싱, 화학적 변환 (New Label)","종간 공동 창작, 예술가 주도 (신체 개입)","도발적/초월적 (New Label), 관계적 윤리","퍼포먼스적, 혐오(Abject), 그로테스크, 과정 기반","사회 비판, 권력 관계 폭로, 도발과 논쟁","생태 여성주의, 포스트휴머니즘, 종차별주의 비판","갤러리, 실험실, 퍼포먼스 공간","관찰적 (퍼포먼스), 해석적 참여",지속적 (Durational),분자에서 인간 신체 규모,"생명 정치, 퀴어 이론, 제도 비판","사진 기록, 비디오 기록, 출판물 (블로그), 물질적 잔여물 (세포)"
Jalila Essaïdi,2.6g 329 m/s (Bulletproof Skin),2011,3,"반-생명 (Semi-Living), 조직 배양, 혼합 물질","조직 공학, 형질 전환","예술가 주도, 인간-비인간 협업","성찰적, 도발과 논쟁","스펙터클, 언캐니, 기능적 미학 (New Label)","사회 비판, 도발과 논쟁, 사변적 디자인","기술 결정론 비판 (New Label), 포스트휴머니즘","실험실, 갤러리, 디자인 페어","관찰적, 해석적 참여",단기 전시,세포 단위에서 개체 단위,"바이오 캐피탈, 지적 재산권, 상업화","사진 기록, 비디오 기록, 물질적 잔여물"
Jalila Essaïdi,Mestic®,2015,3,"생물학적 흔적 (분뇨), 복합 물질",화학적 변환 (New Label),예술가 주도,"성찰적, 호혜성","혐오(Abject)의 전복 (New Label), 기능적 미학","미래 제안, 자원 정치",생태 중심주의,"산업 박람회, 디자인 페어, 연구소","관찰적, 해석적 참여",진행 중 (Ongoing),산업 규모,"바이오 캐피탈, 상업화, 자원 정치","시제품 (직물), 다이어그램, 출판물"
Charlotte Jarvis,Ergo Sum,2012,3,"인간 신체, 세포주, 반-생명(Semi-Living), 혈액","세포 배양, 조직 공학","예술가 주도, 인간-비인간 협업","성찰적, 존재론적 권리, 돌봄 기반","과정 기반, 언캐니(Uncanny), 개념적, 경계의 모호함","지식 생산, 도발과 논쟁, 예술 기반 연구","포스트휴머니즘, 신유물론, 사이보그 이론","실험실, 미술관, 과학 연구소","관찰적, 해석적 참여","지속적(Durational), 진행 중(Ongoing)","세포 단위, 인간 신체 규모",생명 정치(Biopolitics),"사진 기록, 실시간 영상, 물질적 잔여물, 내러티브"
Charlotte Jarvis,In Posse,2019-,3,"인간 신체, 세포주, 혈액, 추출 DNA, 합성 생명체","유전자 편집, CRISPR-Cas9, 세포 배양, 세포 분화 유도","예술가 주도, 종간 공동 창작, 관객의 개입, 다중 행위자 네트워크","공생적, 관계적 윤리, 성찰적, 도발적","퍼포먼스적, 과정 기반, 개념적, 관계 미학","사회 비판, 권력 관계 폭로, 미래 제안, 월드 빌딩","생태 여성주의, 퀴어 이론, 포스트휴머니즘, 탈인간 중심주의","실험실, 미술관, 커뮤니티 센터, 온라인 플랫폼","참여적(Participatory), 공동 창작적(Co-creative), 워크숍","장기 프로젝트, 진행 중(Ongoing), 세대 간(Trans-generational)","분자 단위, 인간 신체 규모, 지구적 네트워크","생명 정치(Biopolitics), 퀴어 이론, 제도 비판","다이어그램, 사진 기록, 강연 퍼포먼스, 출판물, 아카이빙"
Agi Haines,Transfigurations,2013,3,"혼합 물질 (실리콘, 모헤어)",조각(Sculpture) (새 라벨: 생물학적 기술이 아닌 전통 조각 기법을 사용),"예술가 주도, 의도와 통제","성찰적, 위험 평가, 도발적","언캐니(Uncanny), 혐오(Abject), 그로테스크, 시각 중심, 스펙터클","사변적 디자인, 미래 제안, 도발과 논쟁, 사회 비판","트랜스휴머니즘, 기술 결정론, 포스트휴먼 윤리","미술관, 갤러리, 비엔날레","관찰적, 해석적 참여",단기 전시,인간 신체 규모,"상품화 (Commodification), 계급 (Class) / 사회적 불평등 (Social Inequality), 생명정치 (Biopolitics)","물질적 잔여물(조각), 사진 기록"
Center for Genomic Gastronomy,Glowing Sushi Cooking Show,2010,3,"동물(형질전환 물고기), 혼합 물질(음식)",요리(Cooking) (새 라벨: 예술적 방법론으로서의 요리),"예술가 주도, 인간-비인간 협업","도구적, 객체화, 성찰적","퍼포먼스적, 다중 감각(미각), 개념적, 유머러스함(새 라벨)","과학 소통, 교육적, 도발과 논쟁, 사회 비판","소비문화 비판(새 라벨), 종차별주의 비판","온라인 플랫폼, 웹 기반 프로젝트","참여적(Participatory), 워크숍, DIY 키트 제공",일시적(Ephemeral),개체 단위(Organismic),"상품화, 바이오 캐피탈","실시간 영상(웹캐스트), 레시피(새 라벨), 출판물"
Center for Genomic Gastronomy,Food Phreaking,2013-,3,"데이터, DNA 염기서열, 생물학적 흔적 (내용상)","데이터 시각화, 독립 출판(Zine Publishing) (새 라벨)","예술가 주도, 커뮤니티 협업(새 라벨)","성찰적, 책임 있는 연구 혁신(RRI)","개념적, 아이디어 중심, 데이터 미학","지식 생산, 사회 비판, 교육적, 시민 과학 프로젝트","생태 중심주의, 탈식민주의, 반자본주의(새 라벨)","온라인 플랫폼, 커뮤니티 센터, 출판물","해석적 참여, 시민 과학 프로젝트","장기 프로젝트, 진행 중(Ongoing)",지구적 네트워크,"바이오 캐피탈, 지적 재산권, 제도 비판, 탈식민주의","출판물, 데이터 시각화, 아카이빙"
Heather Dewey-Hagborg,Stranger Visions,2012-13,3,"데이터, DNA 염기서열, 생물학적 흔적, 혼합 물질(3D 프린트)","생물정보학(Bioinformatics), 데이터 시각화, 3D 프린팅","예술가 주도, 알고리즘 생성","성찰적, 위험 평가, 권력 관계 폭로","언캐니(Uncanny), 데이터 미학, 시각 중심","사회 비판, 유전적 감시 비판(새 라벨), 권력 관계 폭로","결정론 비판(새 라벨), 포스트휴머니즘","미술관, 갤러리, 공공장소(샘플 수집)","관찰적, 해석적 참여",단기 전시,"분자 단위, 인간 신체 규모","생명 정치(Biopolitics), 거버넌스, 제도 비판","3D 프린팅 조각(새 라벨), 사진 기록, 데이터 시각화"
Heather Dewey-Hagborg,Probably Chelsea,2017,3,"데이터, DNA 염기서열, 혼합 물질(3D 프린트)","생물정보학(Bioinformatics), 데이터 시각화, AI 설계","예술가 주도, AI 공동 창작","관계적 윤리, 성찰적, 공생적","데이터 미학, 과정 기반, 개념적, 다수성의 미학(새 라벨)","정치적 논평, 권력 관계 폭로, 사회 비판","퀴어 이론, 결정론 비판(새 라벨), 포스트휴머니즘","미술관, 갤러리","관찰적, 해석적 참여",단기 전시,"분자 단위, 인간 신체 규모, 설치 규모","생명 정치(Biopolitics), 퀴어 이론, 제도 비판","3D 프린팅 조각(새 라벨), 사진 기록, 데이터 시각화"
Marta de Menezes,Nature?,1999,3,"동물(나비), 식물",미세수술(Microsurgery) (새 라벨: 유전공학이 아닌 물리적 개입),"예술가 주도, 인간-비인간 협업","성찰적, 돌봄 기반, 존재론적 권리","생물학적 형태미, 과정 기반, 변화와 성장, 소멸과 부패","도발과 논쟁, 지식 생산, 자연/인공 질문(새 라벨)","탈인간 중심주의, 관계적 존재론","실험실, 미술관(온실 설치)","관찰적, 관조적","일시적(Ephemeral), 단기 전시","개체 단위(Organismic), 설치 규모","연구 기금(Research Funding),제도적 자원(Institutional Resources)","살아있는 유기체(새 라벨), 사진 기록, 현미경 이미지"
Marta de Menezes,Functional Portraits,2002,3,"데이터, 생체 신호(뇌 활동)","바이오 센싱, 데이터 시각화","예술가 주도, 인간-비인간 협업",성찰적,"데이터 미학, 비물질성, 개념적","지식 생산, 예술 기반 연구","포스트휴머니즘, 심신이원론 비판(새 라벨)","실험실, 과학 연구소","관찰적, 해석적 참여",단기 전시,인간 신체 규모,의료-산업 복합체,"데이터 시각화, 연구 노트"
Paul Vanouse,Relative Velocity Inscription Device,2002,3,"DNA 샘플, 데이터","생물정보학, 전기영동",알고리즘-DNA 상호작용,비판적 재현,데이터 경주,과학적 객관성의 허구성 폭로,사회구성주의,갤러리,해석적 참여,실시간,분자적,유전학의 상업화 비판,데이터 시각화
