Artist,Artwork,Year,Gen,물질성 (Materiality),방법론 (Methodology),행위자 관계 및 구성 (Actor Relationships & Configuration),윤리적 접근 방식 (Ethical Approach),미학적 전략 (Aesthetic Strategy),인식론적 기능 (Epistemic Function),철학적 입장 (Philosophical Stance),사회적 맥락 (Social Context),관객 참여방식 (Audience Engagement),시간적 스케일 (Temporal Scale),공간적 스케일 (Spatio Scale),권력 및 자본 비판,문서화와 재현 (Documentation & Representation)
Anicka Yi,You Can Call Me F,2015,4,"미생물, 박테리아, 생물학적 흔적","세포 배양, 무균 기술","종간 공동 창작, 자율적 생물 과정","성찰적, 관계적 윤리","후각적(냄새), 과정 기반, 혐오(Abject), 개념적","사회 비판, 권력 관계 폭로","생태 여성주의, 신유물론, 탈인간 중심주의","미술관, 갤러리","관찰적, 해석적 참여","단기 전시, 변화와 성장",군집 단위,"제도 비판, 노동","물질적 잔여물, 사진 기록, 내러티브"
Anicka Yi,Life is Cheap,2017,4,"미생물, 박테리아, 동물(개미), 혼합 물질, 데이터(향)","바이오 센싱, 세포 배양, 로보틱스","종간 공동 창작, 다중 행위자 네트워크, 창발","도구적, 성찰적","다중 감각, 후각적(냄새), 언캐니, 과정 기반","사회 비판, 제도 비판, 도발과 논쟁","신유물론, 탈식민주의, 퀴어 이론","미술관, 비엔날레","관찰적, 다중 감각적 경험","지속적, 변화와 성장",설치 규모,"제도 비판, 바이오 캐피탈","실시간 영상, 물질적 잔여물, 설치"
Anicka Yi,In Love With The World,2021,4,"생명-기계 하이브리드, 인공 생명(A-Life)","AI 설계, 로보틱스, 바이오 센싱","AI 공동 창작, 자율적 생물 과정, 창발, 관객의 개입","공생적, 관계적 윤리","다중 감각, 후각적(냄새), 스펙터클, 과정 기반","미래 제안, 사변적 디자인, 월드 빌딩","포스트휴머니즘, 신유물론, 관계적 존재론","미술관, 비엔날레 (대규모 커미션)","상호작용적(신체 센싱), 관찰적","지속적, 진화적",건축 규모,"연구 기금, 생명 정치","실시간 영상, 설치, 내러티브"
Alexandra Daisy Ginsberg,The Substitute,2019,4,"데이터, 인공 생명(A-Life)","AI 설계, 머신러닝, 데이터 시각화","알고리즘 생성, AI 공동 창작","성찰적, 책임 있는 연구 혁신(RRI), 동물권","시각 중심, 스펙터클, 언캐니, 데이터 미학","사회 비판, 도발과 논쟁, 미래 제안","탈인간 중심주의, 종차별주의 비판, 포스트휴먼 윤리","미술관, 갤러리","관찰적, 해석적 참여",단기 전시(반복),개체 단위(가상),"생명 정치, 지적 재산권","데이터 시각화, 실시간 영상(애니메이션)"
Alexandra Daisy Ginsberg,Resurrecting the Sublime,2019,4,"데이터(DNA 염기서열), 혼합 물질(향 분자)","유전자 편집(예측), 생물정보학, 바이오 센싱","예술가 주도, 인간-비인간 협업(과거의 생명)","성찰적, 책임 있는 연구 혁신(RRI)","후각적(냄새), 숭고, 비물질성, 개념적","지식 생산, 예술 기반 연구, 사변적 디자인","신유물론, 생태 중심주의, 탈인간 중심주의","미술관, 비엔날레, 과학 연구소","다중 감각적 경험, 관찰적",단기 전시,설치 규모,,"내러티브, 데이터 시각화, 물질적 잔여물(향)"
Alexandra Daisy Ginsberg,Pollinator Pathmaker,2021,4,"식물, 생태계","AI 설계, 생태학적 조립, 데이터 시각화","AI 공동 창작, 종간 공동 창작, 관객의 개입","공생적, 호혜성, 돌봄 기반, 생태 중심주의","과정 기반, 변화와 성장, 관계 미학","미래 제안, 시민 과학 프로젝트, 월드 빌딩","생태 중심주의, 심층 생태학, 관계적 존재론","공공장소, 자연 환경, 온라인 플랫폼","참여적(DIY 키트 제공), 공동 창작적","진행 중, 진화적","지역 생태계, 지구적 네트워크","거버넌스, 자원 정치","데이터 시각화(웹), 실시간 식물 성장, 출판물"
Michael Sedbon,Cmd: Experiment in Bio-Algorithmic Politics,2019,4,"미생물(시아노박테리아), 생명-기계 하이브리드","바이오 컴퓨팅, AI 설계(유전 알고리즘), 바이오 센싱","다중 행위자 네트워크, 창발, 자율적 생물 과정","도구적, 성찰적","과정 기반, 데이터 미학, 개념적","지식 생산, 실험으로서의 예술, 정치적 논평","관계적 존재론, 사이보그 이론","미술관, 실험실","관찰적, 해석적 참여","지속적, 진화적",설치 규모,"바이오 캐피탈, 생명 정치, 거버넌스","실시간 영상, 데이터 시각화, 연구 노트"
Jenna Sutela,nimiia cétiï,2018,4,"미생물(박테리아), 데이터, 인공 생명(A-Life)","AI 설계, 머신러닝, 바이오 센싱","AI 공동 창작, 종간 공동 창작, 분산된 지능","공생적, 관계적 윤리","청각적(소리), 데이터 미학, 비물질성","예술 기반 연구, 지식 생산, 월드 빌딩","신유물론, 포스트휴머니즘, 관계적 존재론","미술관, 온라인 플랫폼","해석적 참여, 관찰적",단기 전시(영상),분자 단위에서 네트워크까지,,"실시간 영상, 데이터 시각화, 출판물(LP)"
Jenna Sutela,I Magma,2019,4,"혼합 물질(유리), 데이터","AI 설계, 머신러닝","AI 공동 창작, 예술가 주도",성찰적,"시각 중심, 생물학적 형태미, 언캐니","예술 기반 연구, 사변적 디자인","신유물론, 포스트휴머니즘","미술관, 갤러리",관찰적,단기 전시,"개체 단위, 설치 규모",,"사진 기록, 물질적 잔여물, 영상"
Jenna Sutela,Gut-Flora / HMO nutrix,2022,4,"혼합 물질(합성 모유), 데이터(생화학 정보)","바이오 센싱, 생화학적 재현","예술가 주도, 자율적 생물 과정(암시)","공생적, 관계적 윤리","과정 기반, 생물학적 형태미, 개념적","과학 소통, 예술 기반 연구","생태 여성주의, 신유물론, 포스트휴머니즘","미술관, 갤러리","관찰적, 해석적 참여",단기 전시,설치 규모,"생명 정치, 제도 비판","설치, 물질적 잔여물, 영상"
Claire Pentecost,soil-erg,2012,4,"복합 물질, 식물, 미생물","생태학적 조립, 공공 워크숍","예술가 주도, 인간-비인간 협업","돌봄 기반, 관계적 윤리","개념적, 과정 기반, 경계의 모호함","사회 비판, 미래 제안, 제도 비판","생태 중심주의, 신유물론","미술관, 비엔날레, 커뮤니티 센터","참여적 (워크숍), 해석적 참여","장기 프로젝트, 지속적","설치 규모, 지역 생태계","대안적 가치 체계, 제도 비판","조각적 오브제, 드로잉, 워크숍 기록"
Claire Pentecost,Proposal for a New American Agriculture,2008-,4,"식물, 미생물, 복합 물질",생태학적 조립 (퇴비화),"자율적 생물 과정, 예술가 주도",성찰적,"과정 기반, 소멸과 부패, 개념적","정치적 논평, 사회 비판",생태 중심주의,"미술관, 갤러리","관찰적, 해석적 참여","지속적, 과정 기반",개체 단위,"제도 비판, 상징 정치","물질적 잔여물, 사진 기록"
Claire Pentecost,Our Bodies Our Soils,2015-,4,"식물, 미생물, 생물학적 흔적","크로마토그래피, 생태학적 조립",인간-비인간 협업,"돌봄 기반, 관계적 윤리","생물학적 형태미, 패턴과 질감, 데이터 미학","지식 생산, 과학 소통","생태 중심주의, 신유물론","미술관, 갤러리","관찰적, 해석적 참여","지속적, 장기 프로젝트","설치 규모, 군집 단위","헬스케어 정치, 자원 정치","물질적 잔여물, 다이어그램, 사진 기록"
Candice Lin,"A Hard White Body, a Porous Slip",2018,4,"복합 물질, 미생물, 인간 신체 (소변)","생태학적 조립, 증류, 발효","자율적 생물 과정, 다중 행위자 네트워크","성찰적, 관계적 윤리","다중 감각 (후각), 혐오(Abject), 소멸과 부패, 과정 기반","권력 관계 폭로, 역사 재해석","탈식민주의, 신유물론, 퀴어 이론","미술관, 갤러리","관찰적, 감각적 참여, 데이터 제공 (소변)","단기 전시, 지속적",설치 규모,"탈식민주의, 제도 비판, 정체성 정치","물질적 잔여물, 실시간 영상, 내러티브"
Candice Lin,Pigs and Poison,2022,4,"복합 물질 (라드, 뼈 안료), 식물 (양귀비)","기계적 조립, 퍼포먼스","예술가 주도, 기계 행위자","성찰적, 도발과 논쟁","스펙터클, 혐오(Abject), 퍼포먼스적, 다중 감각 (후각)","권력 관계 폭로, 정치적 논평","탈식민주의, 관계적 존재론","미술관, 갤러리","관찰적, 감각적 참여","단기 전시, 퍼포먼스적",설치 규모,"탈식민주의, 생명 정치, 인종 정치","물질적 잔여물, 퍼포먼스 기록, 사진 기록"
Candice Lin,"Seeping, Rotting, Resting, Weeping",2021,4,"복합 물질, 식물 (쪽), 미생물","생태학적 조립, 텍스타일 염색","인간-비인간 협업, 다중 행위자 네트워크","공생적, 돌봄 기반","다중 감각, 과정 기반, 변화와 성장","월드 빌딩, 미래 제안","탈인간 중심주의, 애니미즘, 신유물론","미술관, 갤러리","관찰적, 감각적 참여","단기 전시, 지속적",설치 규모,"탈식민주의, 종차별주의 비판","텍스타일, 조각, 영상, 내러티브"
Jes Fan,Systems (series),2018-,4,"복합 물질, 추출 DNA/호르몬, 합성 물질","유리 공예, 화학적 합성","예술가 주도, 의도와 통제","성찰적, 관계적 윤리","생물학적 형태미, 언캐니, 경계의 모호함","사회 비판, 정체성 탐구","퀴어 이론, 포스트휴머니즘, 신유물론","미술관, 갤러리","관찰적, 해석적 참여","지속적, 장기 프로젝트","인간 신체 규모, 설치 규모","퀴어 이론, 생명 정치, 바이오 캐피탈","조각적 오브제, 사진 기록"
Jes Fan,Mother Is a Woman,2018,4,"인간 신체 (소변), 추출 호르몬","화학적 합성, 바이오 해킹","예술가 주도, 인간-비인간 협업","관계적 윤리, 도발과 논쟁","개념적, 언캐니","권력 관계 폭로, 정체성 탐구","퀴어 이론, 생태 여성주의, 관계적 존재론","미술관, 갤러리","해석적 참여, 관찰적",단기 전시,인간 신체 규모,"퀴어 이론, 친족 관계 정치","영상 기록, 물질적 잔여물 (크림)"
Jes Fan,Sites of Wounding (series),2020-,4,"동물 (굴), 식물 (침향나무), 복합 물질","생태학적 조립, 3D 프린팅, CT 스캔","종간 공동 창작, 예술가 주도","공생적, 돌봄 기반, 성찰적","생물학적 형태미, 과정 기반, 언캐니","지식 생산, 예술 기반 연구","탈인간 중심주의, 신유물론, 관계적 존재론","미술관, 갤러리","관찰적, 해석적 참여","장기 프로젝트, 진화적","설치 규모, 개체 단위","탈식민주의, 자원 정치, 바이오 캐피탈","조각적 오브제, 영상 기록, 데이터 시각화"
Ani Liu,The Botany of Desire,2017,4,"인간의 향기 분자, DNA, 유전자 변형 식물, 유리, 액체 배지","후각 데이터 분석 (GC-MS), 합성 화학, 식물 유전 공학, 유리 공예","예술가(기억의 큐레이터), 사랑하는 이(향기 의 원천), 식물 (살아있는 아카 이브)","감정의 영구 보 존과 자연적 소 멸의 대립, 살아있는 기념물 창조의 윤리","후각적, 시적, 미니멀리즘, 실 험실 미학","향기-기억-감정 의 연결성을 가 시화, 디지털 대 생물학적 기 록 방식에 대한 질문","정신-신체 이원 론에 도전, 기 억에 대한 포스 트휴먼적 관점","디지털 소외, 진정성에 대한 갈망, 새로운 애도 방식의 탐 구","후각적 경험, 사물에 대한 명 상, 서사적 이 해","과거의 순간을 포착하여 미래 를 위해 보존, 식물의 생애주 기","분자(향), 유기 체(식물), 설치 (갤러리 공간)","사랑/기억의 상 품화, 맞춤형 바이오 제품의 가능성","유리 용기, 살아있는 식물, 사진, 텍스트"
Ani Liu,Kisses from the Future,2019,4,"타액, 인간 DNA, 아카이 브용 종이, 유리병","DNA 추출 및 전체 유전체 증 폭, 샷건 시퀀 싱, 데이터 시 각화","커플(유전적 주 체 공유), 기술 (매개 및 기록 자), 잠재적 후 손(사변적 주 체)","유전 정보의 프 라이버시, 사변 적 생식 기술, 친밀함의 데이 터화","개념적, 데이터 기반, 아카이브 미학, 임상적","친밀함이 데이 터로 번역되는 방식 제시, 미 래 가족의 형태 에 대한 질문","유전자 결정론 비판, 데이터화 된 자아 탐구","소비자 직접 (DTC) 유전학 의 부상, 발전 하는 생식 기술","아카이브 자료 의 관람, 담론 적 참여 유도",현재의 친밀한 순간을 미래 세 대를 위해 기록,"마이크로 (DNA), 오브제 (유리병, 문서), 데이터","유전 데이터의 자본화, 생식의 생명경제(bio-economy)","액자 속 DNA 염기서열, 실험 실 오브제, 프 로젝트 설명문"
Ani Liu,Untitled (Human Meatball),2018,4,"예술가 자신의 세포(생 검), 세포 배양액, 배양된 근육 조직","생체 조직 검사 (biopsy), 세포 배양, 조직 공 학 (cellular agriculture)","예술가(재료이 자 창조자), 배 양 세포(생물학 적 물질), 관객 (해석의 주체)","자기-식인주의 (auto-cannibalism) 의 경계, 음식 과 자아의 구 분, 합성 식품 의 의미","불안을 유발하 는, 내장 감각 적 (visceral), 도발적, 요리 (culinary)의 형 태","세포 농업 개념 을 구체화, 식 품의 기원에 대 한 본능적 대면 을 강요","주체-객체, 소 비자-생산물의 경계를 허물기, 인간 신체의 신 성성에 대한 질 문","지속가능한 식 량, 동물 복지, 식품의 미래에 대한 사회적 논 쟁","관찰과 담론적 해석, 본능적/ 감정적 반응 유 발",가까운 미래의 시나리오를 현 재로 소환,"마이크로(세 포), 매크로(미 트볼), 인간(신 체의 기원)","식품 산업 비 판, 인체로 확 장되는 바이오 자본주의","바이오 오브제 자체, 과정 및 결과의 사진 기 록"
Ani Liu,Mind in a Dish,2017,4,"비-인간 신경세포, 페트리 디쉬, 로보틱스, 빛, 소리","신경세포 배양, 로보틱스, 광유 전학 (optogenetics) 적 자극, 데이 터 소리화 (sonification)","신경세포(반응/ 학습), 로봇 시 스템(자극/번 역), 관객(상호 작용)","기초적 형태의 의식 (consciousnes s)을 만들고 조 작하는 행위, 생명의 도구화","상호작용적, 청 각적, 역동적, 미니멀 테크 미 학","인지 과정을 외 부화/물질화, 생각의 물질적 기반 증명","정신-신체 이원 론 비판, 의식 에 대한 유물론 적 관점","신경과학, 인공 지능(AI), 뇌-컴 퓨터 인터페이 스 (BCI) 기술 의 발전","상호작용을 통 한 능동적 참 여, 감각적 피 드백 루프 (시 청각)",실시간(real-time) 프로세스 및 상호작용,"마이크로(신경 망), 오브제(페 트리 디쉬), 설 치(방)",신경과학 연구 의 펀딩 구조와 연구 윤리,"상호작용적 설 치물 자체, 영 상 기록"
Ani Liu,Surpassing the Object,2021,4,"공기 중 향기 분자, 비가 시적 화학 혼합물 (작품 철학)","후각 예술, 합 성 화학, 정동 적 (affective) 경험의 창조, 비-객체 기반 예술","예술가(경험의 설계자), 관객 (신체적/기억적 반응의 주체)","향기의 비자발 적 침투성, 감 정적/생리적 반 응의 유도","몰입형, 비가시 적, 정동적, 찰 나적 (ephemeral)",비-시각적 감각 의 힘과 정서적 연결성을 강조,"현상학(체험 중 심), 시각중심 주의 (ocularcentris m) 비판","경험 경제, 디 지털 시대의 아 날로그적 경험 추구","비자발적, 생리 적, 감성적 몰 입",현재의 순간에 과거의 기억을 촉발,"건축적, 대기적 (공간을 채움)","향기 브랜딩, 감성과 경험의 마케팅","서사, 화학식, 관객의 증언에 의존 (기록의 어려움)"
Pamela Rosenkranz,Our Product,2015,4,"상업용 제품(블리스텍스), 공 업용 화학물질(실리콘, RAL 색소), PET 플라스틱 병","후각 합성 (Olfactory Synthesis), RAL 표준 색상 시스템 을 이용한 색 재 현, 대규모 액체 설치","예술가 주도, 의 도와 통제","성찰적, 도발적","미니멀, 몰입형, 비물질적 (Ethereal)","사회 비판, 권력 관계 폭로, 지식 생산",포스트휴머니즘,미술관,"관찰적, 수동적 관람","순간적, 지속적","건축적 스케일, 특정 공간 맞춤형 (Site-specific)","상품화, 생명 정 치","사진 기록, 영상, 출판물"
Pamela Rosenkranz,She Has No Mouth,2017,4,"동물, 혼합 물질","로봇 제어 시스 템, 종간의 만남 연출, 후각 확산","다중 행위자 네트 워크, 예측 불가 능성, 자율적 생 물 과정","성찰적, 동물권","언캐니, 과정 기 반, 예측 불가능 성","지식 생산, 사회 비판","탈인간 중심주의, 포스트휴머니즘","미술관, 갤러리",관찰적,실시간 퍼포먼스,방 크기 설치 (Room-sized Installation),"상품화, 소비주의 비판","영상 기록물, 사 진, 비평 텍스트 를 통한 퍼포먼스 기록"
Gilberto Esparza,Plantas Autofotosintéticas,2013-2014,4,"전자 폐기물(E-waste), 유리, 오염된 물, 박테리아, 식물","미생물 연료 전지 (MFC), 공생 시 스템 구축, 순환 수계 로보틱스","자율적 생물 과 정, 다중 행위자 네트워크","공생적, 돌봄 기 반, 성찰적","개념적, 생물학적 형태미, 과정 기 반","지식 생산, 미래 제안","생태 중심주의, 관계적 존재론","미술관, 갤러리",시스템적,장기적/진행형,대규모 설치 (Large-scale Installation),"자원 정치, 제도 비판","작동 다이어그램, 과학적 설명, 설 치 기록 영상, 프 로토타입 전시"
Gilberto Esparza,Parásitos Urbanos,2006-2008,4,"전자 폐기물, 광섬유, 이끼, 박테리아","에너지 하베스팅, 로보틱스, 생태학 적 조립","자율적 생물 과 정, 다중 행위자 네트워크","공생적, 관계적 윤리, 성찰적","개념적, 경계의 모호함","미래 제안, 지식 생산","생태 중심주의, 관계적 존재론","공공장소, 도시 공간",자율적/우연적 발견,"지속과 소멸: 에 너지를 얻는 한 계속 작동하지만, 언제든 제거될 수 있는 일시적 생존 의 시간성",개체 단위,"자원 정치, 제도 비판, 권력 관계 폭로","거리 사진, 영상, 지도 기반의 위치 기록, 구술적 재 현"
Xandra van der Eijk,Genesis,2018,4,"데이터, 합성 생명체, 복합 물질","바이오 해킹(DIYbio), 데이터 시각화, 자연 프로세스 제어","예술가 주도, 프로세스 주도, 비인간 주도",성찰적,"미니멀리즘, 프로세스 기반 미학, 데이터 기반 미학","사변적 시나리오 제시, 보이지 않는 것의 가시화, 은유적 표현","신유물론, 포스트휴머니즘","미술관, 실험실, 온라인 플랫폼","관찰적, 관조적, 해석적 참여","딥 타임, 가속화된 시간","분자, 건축","데이터 자본주의 비판, 기술의 유산","사진, 비디오, 설치, 웹 아카이브"
Xandra van der Eijk,Future Remnants,2018-,4,"생물학적 흔적, 복합 물질","수동적 수집, 분류, 아카이빙","예술가 주도, 자연-문화 공동 주도",성찰적,"아카이브 미학, 미니멀리즘, 정보 미학","데이터의 물질화, 보이지 않는 것의 가시화, 증거 제시","객체 지향 존재론(OOO), 인류세 비판","미술관, 갤러리, 자연 환경","관찰적, 관조적, 충격과 성찰 유도","딥 타임, 현재 진행형","생태계, 행성","소비 자본주의 비판, 환경 정책","설치, 아카이브, 사진, 지도"
Cecilia Jonsson,Haem,2016,4,"인간 신체, 단백질, 복합 물질","생물-지질학적 변환, 추출, 연금술적 과정","예술가 주도, 참여자(기증자) 협력","신체 기증, 생명 물질의 도구화, 신성 모독","상징주의, 미니멀리즘, 관계적 미학","과학적 사실의 시적 번역, 은유적 표현, 관계망의 시각화","생명 중심주의, 관계적 존재론, 생태 여성주의","미술관, 실험실, 커뮤니티","관찰적, 담론 형성, 참여적 (기증)","생명의 순환, 지구물리학적 시간","신체, 분자, 행성","생명윤리, 기증 경제","오브제, 사진, 텍스트, 다이어그램"
Cecilia Jonsson,The Iron Ring,2013,4,"식물, 복합 물질, 생물학적 흔적","식물 채광 (Phytomining), 추출, 제련","예술가 주도, 생태계 공동 주도","환경 정화의 주체, 오염의 미학화","상징주의, 프로세스 기반, 토속적 미학","보이지 않는 것의 가시화, 장소 특정적 지식 생산, 증거 제시","생태 중심주의, 장소 특정적 실천","자연 환경, 미술관, 커뮤니티","관찰적, 해석적 참여, 장소 특정적 경험","산업의 역사, 생태적 회복","지역 생태계, 개인","환경 복원, 산업 유산, 순환 경제","오브제, 사진, 비디오, 지도"
Dasha Tsapenko,Fur_tilize,2020,4,균류; 식물; 복합 조직체,세포 배양; 생태학적 조립,종간 공동 창작; 자율적 생물 과정,공생적; 돌봄 기반; 호혜성,과정 기반; 변화와 성장; 시간성,사회 비판; 미래 제안; 사변적 디자인,생태 중심주의; 신유물론,실험실; 미술관; 비엔날레,관찰적; 해석적 참여,진화적,개체 단위,상품화 비판; 순환 경제 제안,사진 기록; 물질적 잔여물; 강연 퍼포먼스
Dasha Tsapenko,Living Mycelium Fashion,2020-,4,균류; 식물; 혼합 물질,세포 배양; 바이오 해킹(DIYbio),인간-비인간 협업; 자율적 생물 과정,공생적; 돌봄 기반; 관계적 윤리,과정 기반; 소멸과 부패; 생물학적 형태미,미래 제안; 사회 비판,생태 중심주의; 신유물론,사설 스튜디오; 미술관; 온라인 플랫폼,관찰적; 해석적 참여,일시적,인간 신체 규모,상품화 비판; 지속가능성,사진 기록; 내러티브
Dasha Tsapenko,Growing Gunya,2022,4,균류; 복합 조직체,세포 배양; 전통 공예 융합,인간-비인간 협업; 관객의 개입,관계적 윤리; 돌봄 기반,생물학적 형태미; 촉각적; 패턴과 질감,교육적; 문화 보존,생태 중심주의; 장소 특정성,공공장소; 커뮤니티,참여적; 해석적 참여,지속적,설치 규모,지역성; 상품화 비판,사진 기록; 구술; 물질적 잔여물
Anna Dumitriu,The MRSA Quilt,2011,4,"미생물(박테리아), 직물","세포 배양, 전통 공예",예술가-박테리아-역사의 결합,위험의 가시화,가정적 오브제,항생제 내성 문제 공론화,생태 여성주의,갤러리,관찰적,성장 및 소멸,미시적-인간적,공중 보건 시스템 비판,공예 오브제
Charlotte Jarvis,Erpatozoa: Her Semen,2016,4,조직 배양 (줄기세포),조직 공학 (IPS),예술가-세포-기술의 융합,개념적 전복,생물학적 드랙,젠더 이분법의 해체,"생태 여성주의, 퀴어 이론","실험실, 갤러리","해석적, 담론적",과정적,세포적,가부장제 비판,"영상, 사진, 과학적 기록"
Anicka Yi,Life Is Cheap,2017,4,"미생물 (박테리아), 복합 조직체","세포 배양, 유전자 편집 (CRISPR), 생태학적 조립","예술가-유기체 공동 행위, 비인간 행위자","후각적, 공감각적, 과정 기반","세포적 (외부), 미생물학적","관찰적, 감각적 (비시각)","과정적, 진화적","건축적, 생태계적","정체성 정치, 젠더와 인종, 전염과 오염","포스트휴머니즘, 신유물론, 생태 여성주의","미술관, 갤러리 (화이트 큐브)","유전자 변형 생물(GMO)의 창조, 생명체 도구화","살아있는 시스템, 사변적 서사"
Heather Dewey-Hagborg,Stranger Visions,2012,4,"추출 DNA, 생물학적 흔적","생물정보학, 3D 프린팅, 데이터 시각화","예술가-데이터 매개, 알고리즘적 생성","개념적, 법의학적, 불안감 유발","데이터적, 유전적 (정보)","해석적 참여, 담론적","정지된, 재구성된",인체적 (초상),"감시 사회, 유전적 프라이버시, 법의학적 권력","기술 결정론 비판, 데이터 존재론","갤러리, 온라인 플랫폼, 공공 담론","동의 없는 유전 정보 사용, 인종적 프로파일링","알고리즘적 재현, 추측적 초상"
Alexandra Daisy Ginsberg,Designing for the Sixth Extinction,2013,4,**합성 생명체 (설계된 유기체)**¹,"사변적 디자인², AI 설계, 생태학적 시뮬레이션","예술가 주도 설계, 가상적 행위자","사변적, 비판적, 서사적","생태학적, 가상적","해석적 참여, 관조적","미래적, 가상적","생태계적, 행성적","합성생물학, 탈멸종, 생물다양성 보존","기술 유토피아니즘 비판, 인간 중심주의 비판","미술관, 디자인 비엔날레, 학술 컨퍼런스","인공 생태계의 의도치 않은 결과, 신의 영역 침범","사변적 디자인, 디지털 렌더링"
Amy Karle,Regenerative Relic,2016,4,"조직 배양 (세포주), 반-생명(Semi-Living), 인간 신체","조직 공학, 3D 바이오 프린팅, 세포 배양",예술가-신체-기술 하이브리드,"과정 기반, 명상적, 경이감","세포적 (외부), 외과적 (잠재)","관찰적, 과정 추적","성장적, 치유적",인체적 (부분),"재생의료, 신체 강화, 생명의 정의","트랜스휴머니즘, 포스트휴머니즘, 생명 중심주의","실험실, 갤러리","인간-동물 키메라, 신체 부위의 소유권, 생명 창조","살아있는 조각, 과정의 기록"